,sex,age,address,famsize,Pstatus,Medu,Fedu,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,absences,alcohol,grade
447,F,15,R,LE3,T,2,2,reputation,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,1,3,0,4,32
448,F,15,R,LE3,T,3,1,reputation,father,2,4,0,no,yes,no,no,no,yes,yes,no,4,4,2,6,5,45
449,M,16,U,GT3,T,3,1,reputation,father,2,4,0,no,yes,no,no,yes,yes,yes,no,4,3,2,2,2,35
450,M,15,U,GT3,T,4,2,course,mother,1,4,0,no,no,no,no,yes,yes,yes,no,3,3,3,0,2,30
451,F,15,R,GT3,T,1,1,reputation,mother,1,2,0,yes,yes,no,no,no,yes,yes,yes,3,3,4,2,6,35
452,M,16,U,GT3,T,3,1,reputation,mother,1,1,0,no,no,no,yes,yes,yes,no,no,5,3,2,0,4,40
453,F,16,U,GT3,T,3,3,home,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,no,4,3,3,4,6,33
454,M,15,U,GT3,T,4,3,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,0,5,33
455,M,15,U,GT3,T,4,0,course,mother,2,4,0,no,no,no,yes,yes,yes,yes,no,3,4,3,0,2,34
456,F,16,U,GT3,T,2,2,reputation,mother,1,4,0,no,no,no,no,yes,yes,yes,yes,5,2,3,1,4,39
457,M,17,U,GT3,T,2,1,home,mother,2,1,3,yes,yes,no,yes,yes,no,yes,no,4,5,1,0,2,28
458,F,16,U,GT3,T,3,4,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,4,3,14,3,34
459,M,15,U,GT3,T,2,3,course,father,1,1,0,yes,yes,no,yes,no,yes,yes,yes,3,2,2,0,4,34
460,M,15,U,GT3,T,2,3,home,mother,1,3,0,yes,no,no,no,no,yes,yes,no,5,3,2,2,3,28
461,F,15,U,LE3,T,3,2,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,4,4,2,34
462,M,15,U,LE3,T,2,2,home,mother,2,2,0,no,no,yes,yes,yes,yes,yes,no,5,3,3,2,4,38
463,F,15,U,GT3,T,1,1,home,father,1,2,0,no,yes,no,yes,no,yes,yes,no,4,3,2,2,5,37
464,F,15,U,GT3,T,4,4,reputation,father,2,2,0,no,no,no,no,yes,yes,yes,yes,4,4,4,4,5,35
465,F,16,U,LE3,T,2,2,course,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,6,3,35
466,F,15,U,GT3,T,4,2,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,4,4,45
467,M,16,U,GT3,T,2,2,reputation,father,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,2,6,2,33
468,M,16,U,LE3,A,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,no,no,4,1,3,6,8,28
469,F,16,U,GT3,T,3,3,home,mother,1,3,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,2,4,31
470,F,15,U,GT3,T,4,3,reputation,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,4,5,5,6,4,40
471,F,16,U,LE3,T,3,1,home,father,1,2,0,yes,yes,no,no,yes,yes,no,no,3,3,3,0,5,37
472,F,16,U,GT3,T,4,2,home,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,2,2,41
473,M,15,U,LE3,T,2,2,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,2,2,35
474,F,15,R,GT3,T,1,1,home,mother,2,4,0,yes,yes,yes,yes,yes,yes,yes,no,3,1,2,4,2,39
475,M,16,R,GT3,T,4,3,reputation,mother,2,1,0,yes,yes,yes,yes,no,yes,yes,no,3,3,3,6,2,31
476,F,16,U,GT3,T,2,1,course,mother,1,2,0,no,yes,no,no,yes,yes,no,yes,4,3,5,0,2,37
477,F,16,U,GT3,T,4,4,reputation,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,3,4,4,3,38
478,F,16,U,GT3,T,4,3,course,mother,1,3,0,yes,yes,no,no,yes,yes,yes,no,5,3,5,2,2,38
479,M,16,U,GT3,T,4,4,other,mother,1,1,0,yes,yes,no,yes,yes,yes,yes,no,4,5,5,12,10,26
480,M,16,U,GT3,T,4,4,other,father,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,3,0,2,48
481,M,15,U,GT3,T,4,4,course,mother,1,1,0,no,yes,yes,yes,no,yes,yes,no,5,3,3,2,2,37
482,F,15,U,GT3,T,3,2,home,mother,2,2,0,yes,yes,no,no,yes,yes,yes,no,4,3,5,16,2,31
483,M,15,U,GT3,A,3,4,course,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,0,2,48
484,F,15,U,GT3,A,3,3,reputation,father,1,4,0,yes,no,no,no,yes,yes,no,no,4,3,3,10,2,30
485,F,15,U,GT3,T,2,2,course,mother,1,4,0,yes,yes,no,no,yes,yes,yes,no,5,1,2,4,2,30
486,M,16,U,GT3,T,3,3,home,father,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,4,2,41
487,M,15,R,GT3,T,4,4,home,father,4,4,0,no,yes,no,yes,yes,yes,yes,yes,1,3,5,8,8,33
488,F,16,U,LE3,T,4,4,other,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,5,4,5,2,2,44
489,M,15,U,LE3,A,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,5,5,3,4,2,41
490,F,16,R,GT3,T,3,3,reputation,father,1,3,0,yes,yes,no,yes,yes,yes,yes,no,4,1,2,4,2,33
491,F,16,U,GT3,T,2,2,home,mother,1,2,1,yes,no,no,yes,yes,yes,yes,no,3,1,2,12,2,28
492,M,15,U,LE3,T,4,2,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,5,2,10,2,53
493,M,15,R,GT3,T,2,1,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,4,2,4,2,29
494,M,16,U,GT3,T,4,4,course,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,5,4,4,6,3,44
495,M,15,U,GT3,T,4,4,reputation,father,2,2,0,no,yes,no,yes,yes,yes,no,no,4,4,3,4,2,47
496,M,16,U,GT3,T,3,3,home,father,2,1,0,no,no,no,yes,yes,yes,yes,no,5,4,2,6,2,43
497,M,17,R,GT3,T,1,3,course,father,3,2,1,no,yes,no,yes,yes,yes,yes,no,5,2,4,14,5,34
498,M,15,U,GT3,T,3,4,reputation,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,3,2,3,41
499,F,15,U,GT3,T,1,2,course,mother,1,2,0,no,no,no,no,no,yes,yes,no,3,2,3,0,3,42
500,M,15,U,GT3,T,2,2,home,father,1,4,0,no,yes,no,yes,yes,yes,yes,no,5,5,4,6,3,40
501,F,16,U,LE3,T,2,4,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,2,2,2,3,39
502,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,3,4,4,4,5,38
503,F,16,U,GT3,T,2,2,home,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,5,4,4,0,2,34
504,M,15,U,GT3,T,3,4,home,father,1,1,0,yes,no,no,no,yes,yes,yes,no,5,5,5,2,5,27
505,F,15,U,LE3,A,3,4,home,mother,1,2,0,yes,no,no,yes,yes,yes,yes,yes,5,3,2,0,2,32
506,F,19,U,GT3,T,0,1,course,other,1,2,2,no,yes,no,no,no,no,no,no,3,4,2,0,2,30
507,M,16,R,GT3,T,4,4,course,mother,1,1,0,no,no,no,yes,yes,yes,yes,no,3,5,5,8,7,43
508,M,16,U,GT3,T,2,3,course,mother,2,3,0,no,yes,no,no,no,yes,yes,yes,3,2,3,4,4,38
509,F,15,R,GT3,T,3,4,course,father,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,0,4,33
510,F,18,U,GT3,T,2,1,reputation,mother,1,2,3,no,yes,no,yes,yes,no,yes,yes,5,4,5,10,4,27
511,F,17,U,LE3,A,2,1,course,mother,3,1,0,no,yes,no,no,yes,yes,yes,no,3,2,2,8,3,32
512,F,15,U,GT3,T,1,1,course,mother,3,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,6,3,36
513,F,17,U,LE3,T,2,2,course,father,1,1,0,no,yes,no,no,yes,yes,yes,yes,3,4,4,2,4,37
514,F,16,U,GT3,A,3,4,course,father,1,1,0,no,no,no,no,yes,yes,yes,no,3,2,1,12,5,42
515,M,16,U,GT3,T,2,1,course,mother,4,1,0,no,no,no,no,yes,yes,no,no,3,2,1,4,2,29
516,F,16,U,GT3,A,2,2,home,mother,1,1,1,no,no,no,no,yes,yes,no,no,5,3,4,12,2,35
517,M,15,R,GT3,T,3,4,course,mother,4,2,0,no,yes,no,no,yes,yes,no,yes,5,3,3,2,2,34
518,F,15,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,4,2,42
519,M,17,R,GT3,T,3,4,course,mother,3,2,0,no,no,no,no,yes,yes,no,no,5,4,5,2,6,29
520,F,16,R,GT3,T,1,1,course,mother,4,2,0,no,yes,no,no,yes,yes,no,no,5,1,3,0,2,40
521,M,18,U,LE3,T,3,1,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,yes,3,3,4,2,9,34
522,F,18,U,GT3,A,3,2,course,other,1,3,0,no,yes,no,yes,no,yes,yes,yes,4,3,3,10,6,34
523,F,16,R,GT3,T,1,1,reputation,mother,2,1,0,no,yes,no,yes,yes,yes,no,yes,3,3,3,8,3,34
524,F,16,U,GT3,A,3,3,course,other,2,1,0,no,yes,no,yes,no,yes,yes,yes,4,3,2,4,2,28
525,M,16,U,LE3,T,1,1,course,mother,1,2,2,no,no,no,no,yes,yes,no,yes,4,4,4,0,4,30
526,F,15,U,GT3,T,4,4,course,mother,2,1,0,no,no,no,yes,yes,yes,yes,no,4,3,2,6,2,41
527,F,15,R,GT3,T,1,1,course,mother,3,1,1,no,no,no,yes,yes,yes,yes,yes,5,5,5,2,2,26
528,M,15,U,GT3,T,4,3,course,father,2,4,0,yes,yes,no,no,yes,yes,yes,no,2,2,2,6,2,31
529,M,16,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,5,3,3,0,4,41
530,M,16,U,LE3,T,2,2,reputation,father,2,1,0,no,yes,no,yes,yes,yes,yes,no,2,3,3,4,4,34
531,F,15,U,GT3,T,4,4,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,2,2,2,2,39
532,F,16,U,LE3,T,1,1,course,mother,1,1,0,no,no,no,no,yes,yes,yes,no,3,4,4,4,6,32
533,M,17,U,GT3,T,2,1,home,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,4,5,22,3,22
534,F,15,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,yes,yes,yes,no,4,4,2,0,3,36
535,F,15,U,LE3,A,2,1,home,mother,2,1,0,no,yes,no,yes,yes,no,yes,yes,4,4,2,0,2,31
536,F,15,U,GT3,T,3,2,home,father,1,2,1,no,yes,no,no,yes,yes,yes,no,3,3,2,2,2,33
537,F,15,U,GT3,T,1,2,course,mother,1,2,0,no,yes,no,no,no,yes,yes,no,4,3,2,6,2,38
538,F,15,U,GT3,T,1,2,course,father,1,2,0,no,no,no,no,no,yes,no,yes,2,3,4,6,6,33
539,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,3,3,2,16,3,26
540,M,15,U,LE3,A,2,1,course,mother,4,1,0,no,no,no,no,yes,yes,yes,no,4,5,5,0,7,34
541,M,18,U,LE3,T,1,1,course,mother,1,1,2,no,no,no,no,yes,no,yes,yes,2,3,5,0,7,20
542,M,16,U,LE3,T,2,1,course,mother,1,1,1,no,no,no,yes,yes,yes,no,yes,4,4,4,6,8,29
543,F,15,R,GT3,T,3,3,reputation,other,2,3,0,no,yes,yes,yes,yes,yes,yes,yes,4,2,1,2,5,39
544,M,19,U,GT3,T,3,2,home,mother,1,1,0,no,yes,no,no,yes,no,yes,yes,4,5,4,6,2,31
545,F,17,U,GT3,T,4,4,course,mother,1,1,0,yes,yes,no,no,yes,yes,no,yes,4,2,1,0,2,39
546,M,15,R,GT3,T,2,3,course,mother,1,2,0,yes,no,yes,yes,yes,yes,no,no,4,4,4,0,2,23
547,M,17,R,LE3,T,1,2,reputation,mother,1,1,3,no,no,no,no,yes,yes,no,no,2,2,2,14,6,27
548,F,18,R,GT3,T,1,1,course,mother,3,1,3,no,yes,no,yes,no,yes,no,no,5,2,5,6,6,32
549,M,16,R,GT3,T,2,2,course,mother,3,1,0,no,no,no,no,no,yes,no,no,4,2,2,4,3,33
550,M,16,U,GT3,T,3,3,course,father,1,2,1,no,yes,no,no,yes,yes,yes,yes,4,5,5,0,8,21
551,M,16,U,LE3,T,1,2,course,mother,2,1,2,no,no,no,no,no,yes,yes,no,4,4,5,0,8,27
552,M,17,R,LE3,T,2,1,course,mother,2,1,1,no,no,yes,yes,yes,no,yes,yes,3,3,2,8,4,25
553,M,17,R,GT3,T,3,2,course,mother,2,2,2,yes,yes,no,no,yes,yes,yes,yes,4,4,4,4,5,21
554,M,15,U,LE3,T,1,2,course,mother,2,1,0,no,no,no,yes,yes,yes,no,no,4,4,4,2,6,27
555,M,16,U,GT3,T,1,3,course,father,1,1,1,no,no,no,no,yes,no,yes,no,5,3,3,2,5,25
556,M,17,R,LE3,T,1,1,course,mother,4,2,0,no,no,no,yes,yes,no,no,yes,5,3,5,0,6,24
557,M,17,U,GT3,T,3,2,course,mother,2,1,3,no,yes,no,yes,no,no,no,no,4,5,2,10,2,23
558,M,16,U,GT3,T,2,2,course,father,1,2,0,no,no,no,no,yes,no,yes,no,4,3,5,0,6,30
559,F,16,U,GT3,T,4,2,home,father,1,2,0,no,no,no,no,yes,yes,yes,yes,4,2,3,0,2,52
560,F,16,U,GT3,T,2,2,home,mother,1,2,0,no,yes,no,no,no,yes,yes,no,5,1,5,0,2,37
561,F,16,U,GT3,T,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,4,2,0,2,49
562,M,16,U,GT3,T,3,4,course,father,3,1,1,no,yes,no,yes,no,yes,yes,no,3,4,5,4,6,28
563,M,16,U,GT3,T,1,0,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,0,2,51
564,M,17,U,LE3,T,4,4,reputation,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,0,4,30
565,F,16,U,GT3,T,1,3,home,mother,1,2,0,no,no,no,yes,no,yes,yes,yes,4,3,5,0,2,40
566,F,16,U,LE3,T,3,3,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,5,0,2,43
567,M,17,U,LE3,T,4,3,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,no,4,4,4,0,8,32
568,F,16,U,GT3,T,2,2,reputation,mother,2,2,0,no,no,no,yes,no,yes,yes,no,3,4,4,0,5,39
569,M,17,U,GT3,T,3,3,reputation,father,1,2,0,no,no,no,yes,no,yes,yes,no,4,3,4,4,5,30
570,M,16,R,GT3,T,4,2,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,4,3,3,8,7,30
571,M,17,U,GT3,T,4,3,course,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,yes,5,2,3,4,2,35
572,M,16,U,GT3,T,4,3,home,mother,1,2,0,no,yes,yes,yes,yes,yes,yes,no,3,4,3,4,5,32
573,M,16,U,GT3,T,3,3,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,0,3,36
574,F,17,U,GT3,T,2,4,reputation,father,1,2,0,no,yes,no,yes,yes,yes,no,no,5,4,2,0,5,52
575,F,16,U,GT3,T,3,2,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,1,2,2,8,3,45
576,M,17,U,GT3,T,3,3,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,yes,4,3,4,6,5,38
577,M,16,U,GT3,T,1,2,other,mother,1,1,0,no,yes,no,yes,yes,yes,yes,yes,3,3,3,0,3,30
578,M,16,U,LE3,T,2,1,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,2,3,0,3,43
579,F,17,U,GT3,A,3,3,reputation,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,3,3,3,10,4,39
580,M,17,R,GT3,T,1,2,home,mother,1,2,0,no,no,no,no,yes,yes,no,no,3,1,3,6,6,28
581,F,16,U,GT3,T,2,3,course,mother,1,2,0,no,no,no,no,yes,yes,yes,no,4,3,3,6,2,37
582,F,17,U,GT3,T,1,1,course,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,3,3,0,2,35
583,M,17,U,GT3,T,1,2,other,other,2,2,0,no,no,no,yes,no,yes,yes,no,4,4,4,16,9,33
584,M,16,R,GT3,T,3,3,reputation,mother,1,1,0,no,yes,no,yes,yes,yes,yes,no,4,3,2,0,7,31
585,M,16,U,GT3,T,2,3,home,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,3,3,0,2,37
586,F,17,U,LE3,T,2,4,course,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,4,3,2,8,2,45
587,M,17,U,GT3,T,4,4,home,mother,1,1,0,no,no,no,no,yes,yes,yes,no,5,2,3,4,3,40
588,M,16,R,LE3,T,3,3,home,father,3,1,0,no,yes,no,yes,yes,yes,yes,no,3,3,4,16,8,33
589,F,16,U,LE3,T,4,4,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,5,2,0,3,32
590,F,16,U,GT3,T,4,3,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,3,5,2,6,43
591,F,16,U,GT3,T,2,3,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,no,no,4,4,3,4,4,35
592,F,17,U,GT3,T,1,1,course,mother,1,2,0,no,yes,no,no,no,yes,no,no,4,4,4,0,4,44
593,F,17,R,GT3,T,2,2,reputation,mother,1,1,0,no,yes,no,no,yes,yes,yes,no,5,3,2,21,3,39
594,F,16,R,GT3,T,2,2,reputation,mother,2,4,0,no,yes,no,yes,no,yes,yes,no,5,3,5,6,2,39
595,F,17,U,GT3,T,3,4,home,mother,1,3,1,no,yes,yes,no,yes,yes,yes,yes,4,4,3,14,7,25
596,F,16,U,GT3,A,3,1,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,2,3,3,2,4,34
597,F,16,U,GT3,T,4,3,other,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,1,3,2,4,2,44
598,F,16,U,GT3,T,1,1,home,mother,2,1,0,no,yes,no,no,yes,yes,no,no,4,3,2,2,5,38
599,F,17,R,GT3,T,4,3,reputation,mother,2,3,0,no,yes,no,yes,yes,yes,yes,yes,4,4,2,0,2,35
600,F,19,U,GT3,T,3,3,reputation,other,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,4,3,36
601,M,17,U,LE3,T,4,4,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,5,3,5,15,9,37
602,F,16,U,GT3,A,2,2,reputation,mother,1,2,0,yes,yes,no,no,yes,yes,yes,no,3,3,4,0,2,39
603,M,18,U,GT3,T,2,2,home,mother,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,4,4,10,6,34
604,F,17,R,LE3,T,4,4,other,mother,1,1,0,no,yes,no,no,yes,yes,no,no,5,2,1,6,3,34
605,F,17,U,LE3,T,3,2,reputation,mother,2,2,0,no,no,no,no,yes,yes,yes,no,4,4,4,2,4,45
606,F,17,U,GT3,T,4,3,reputation,mother,1,2,0,no,no,no,no,yes,yes,yes,yes,3,4,5,16,6,30
607,M,18,U,LE3,T,3,3,home,father,1,2,0,no,yes,no,no,yes,yes,yes,no,3,2,4,10,6,30
608,F,17,U,GT3,T,2,3,home,father,2,1,0,no,yes,no,no,yes,yes,no,no,3,3,3,4,5,38
609,F,17,U,GT3,T,2,2,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,3,0,2,37
610,F,17,R,GT3,T,2,1,reputation,mother,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,5,0,3,32
611,F,17,U,GT3,T,1,1,reputation,mother,1,3,0,no,yes,no,yes,yes,yes,no,yes,4,3,4,12,2,36
612,F,16,U,GT3,T,2,3,other,mother,1,2,0,yes,no,no,no,yes,yes,yes,no,2,3,1,0,2,40
613,M,18,U,GT3,T,2,2,home,mother,2,2,3,no,yes,yes,no,yes,yes,yes,no,3,3,3,9,10,29
614,F,16,U,GT3,T,4,4,home,mother,1,3,0,no,yes,no,yes,no,yes,yes,no,5,3,2,4,2,47
615,F,18,R,GT3,T,3,1,reputation,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,4,2,24
616,F,17,U,GT3,T,3,2,course,mother,1,2,0,no,no,no,yes,no,yes,yes,no,5,3,4,2,4,52
617,M,17,U,LE3,T,2,3,reputation,father,1,2,0,no,yes,no,no,no,yes,yes,no,5,3,3,0,4,32
618,M,18,U,LE3,T,2,1,course,mother,4,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,3,2,2,9,30
619,F,17,U,GT3,A,2,1,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,0,3,46
620,F,17,U,LE3,T,4,3,reputation,father,1,2,0,no,no,no,yes,yes,yes,yes,yes,3,2,3,0,3,38
621,M,17,R,GT3,T,2,2,course,father,2,2,0,no,yes,no,yes,yes,yes,yes,no,4,5,2,0,2,38
622,M,17,U,GT3,T,4,4,reputation,mother,1,2,0,yes,yes,no,yes,yes,yes,yes,yes,4,5,5,0,4,39
623,M,16,U,GT3,T,4,4,reputation,father,1,2,0,no,yes,no,yes,yes,yes,yes,no,4,2,4,0,6,40
624,M,16,U,LE3,T,1,1,home,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,3,4,2,2,2,27
625,M,16,U,GT3,T,3,2,reputation,mother,2,3,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,0,4,36
626,M,17,U,LE3,T,2,2,home,father,1,2,0,no,no,no,yes,no,yes,yes,yes,4,4,2,0,10,48
627,F,16,U,GT3,T,2,1,home,mother,1,1,0,no,no,no,no,yes,yes,yes,yes,4,5,2,4,2,29
628,F,16,U,GT3,A,4,1,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,yes,5,3,3,0,3,40
629,F,18,U,LE3,A,2,4,course,mother,2,2,1,no,yes,no,no,yes,yes,yes,no,4,3,3,18,2,30
630,F,18,U,LE3,T,2,2,course,mother,1,2,1,no,yes,no,no,no,yes,yes,yes,5,3,1,16,2,27
631,F,18,U,GT3,T,3,3,course,mother,2,1,1,no,no,no,no,yes,no,yes,no,4,1,1,14,2,22
632,M,17,U,GT3,T,4,4,course,mother,1,1,0,no,yes,no,yes,no,yes,yes,no,4,2,1,6,3,27
633,F,17,U,GT3,T,3,2,course,father,1,2,0,no,no,no,yes,yes,yes,no,no,5,4,2,4,2,43
634,F,17,U,LE3,T,1,1,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,yes,4,3,2,10,3,31
635,F,16,U,GT3,T,1,2,course,mother,1,1,0,no,no,no,no,yes,no,yes,no,5,3,5,4,3,34
636,F,17,R,GT3,T,2,1,course,mother,3,2,0,no,no,no,yes,yes,yes,no,no,2,1,1,2,2,39
637,F,17,R,LE3,A,1,4,course,other,4,1,1,no,yes,no,no,yes,yes,yes,no,5,5,4,14,2,26
638,M,18,U,GT3,T,2,2,reputation,father,1,2,0,no,no,no,no,yes,no,yes,no,5,5,4,16,8,23
639,F,17,U,LE3,A,2,2,home,mother,1,1,1,no,yes,no,no,no,no,yes,no,3,1,2,8,2,30
640,F,17,R,LE3,T,1,1,course,mother,2,3,0,no,no,no,yes,yes,yes,yes,no,4,3,3,4,4,44
641,F,17,U,LE3,A,4,2,course,mother,1,2,0,no,yes,no,yes,yes,yes,no,no,4,3,2,4,2,43
642,M,17,U,LE3,T,4,3,course,mother,2,2,0,no,no,no,yes,yes,yes,yes,yes,2,5,5,8,5,45
643,M,17,R,LE3,A,4,4,course,mother,2,2,0,no,yes,no,no,yes,yes,yes,no,3,3,3,0,5,36
644,M,16,U,LE3,T,4,3,course,mother,1,1,0,no,no,no,yes,no,yes,yes,no,5,4,5,7,2,43
645,M,16,U,GT3,T,4,4,course,mother,1,1,0,no,no,yes,yes,yes,yes,yes,no,5,3,2,4,3,44
646,F,17,U,GT3,T,4,4,course,mother,1,2,0,no,yes,yes,no,yes,yes,yes,yes,5,3,1,2,5,34
647,M,17,R,GT3,T,1,1,home,father,2,3,0,no,no,no,no,no,yes,yes,yes,4,3,3,2,2,42
648,F,17,U,GT3,T,3,3,home,mother,2,3,0,no,yes,no,no,yes,yes,yes,yes,4,2,2,10,5,33
649,F,17,U,GT3,T,1,1,course,mother,1,2,0,yes,no,no,no,no,yes,no,yes,4,3,2,10,2,29
650,F,18,U,GT3,T,2,1,course,other,2,3,0,no,yes,no,no,no,yes,yes,yes,4,4,4,10,2,33
651,M,16,U,GT3,T,2,1,course,mother,3,1,0,no,no,no,no,yes,yes,yes,no,4,3,3,7,2,47
652,F,17,U,GT3,T,1,1,course,father,1,2,0,no,yes,no,no,yes,yes,no,no,4,3,4,4,3,32
653,M,17,U,GT3,T,2,3,course,father,2,1,0,no,no,no,no,yes,yes,yes,no,5,2,2,2,2,34
654,M,18,R,LE3,T,3,3,course,mother,1,2,0,no,yes,no,no,yes,yes,yes,yes,4,3,3,8,4,29
655,M,16,U,GT3,T,0,2,other,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,3,2,0,6,34
656,M,18,U,GT3,T,3,2,course,mother,2,1,0,no,no,no,no,yes,no,yes,no,4,4,5,8,6,22
657,M,16,U,GT3,T,3,3,reputation,other,3,2,1,yes,yes,no,no,no,yes,yes,no,5,3,3,4,4,30
658,M,18,U,GT3,T,2,1,other,mother,1,1,2,no,no,no,no,no,no,yes,no,3,2,5,4,7,21
659,M,16,R,GT3,T,2,1,course,mother,2,1,0,no,no,no,yes,no,yes,no,no,3,3,2,2,4,39
660,M,17,R,GT3,T,2,1,course,mother,1,1,0,no,no,no,no,no,yes,yes,no,4,4,2,0,6,37
661,M,17,U,LE3,T,1,1,course,mother,2,1,1,no,yes,no,yes,yes,yes,yes,no,4,4,4,0,3,29
662,F,18,U,LE3,A,2,1,course,mother,1,2,0,no,yes,no,no,no,yes,yes,yes,4,3,4,2,4,37
663,F,17,U,LE3,T,4,2,reputation,mother,1,4,0,no,yes,no,yes,yes,yes,yes,no,4,2,3,2,2,46
664,F,19,U,GT3,T,2,2,home,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,3,0,2,31
665,M,18,U,LE3,T,2,1,course,mother,3,2,1,no,no,no,yes,no,no,yes,no,4,4,5,4,8,32
666,F,17,R,GT3,T,4,2,course,mother,1,3,0,no,yes,no,yes,yes,yes,yes,no,4,3,4,2,4,37
667,F,18,U,LE3,T,1,1,home,mother,1,3,0,no,yes,no,no,no,yes,no,no,4,4,3,4,5,37
668,F,18,R,GT3,T,2,2,home,mother,1,2,0,yes,no,no,no,yes,yes,no,no,3,2,3,4,2,35
669,M,19,U,LE3,A,4,3,reputation,mother,1,2,0,no,yes,no,no,yes,yes,yes,no,4,3,1,4,2,38
670,M,18,U,GT3,T,2,1,home,mother,1,2,0,no,no,no,yes,yes,yes,yes,no,5,2,4,2,3,48
671,M,17,R,GT3,T,2,2,other,mother,2,1,0,no,no,no,no,no,no,no,no,5,2,2,0,2,29
672,F,17,U,LE3,T,2,2,course,father,1,4,0,no,no,no,yes,yes,yes,yes,yes,3,4,1,2,2,33
